,tweet_id,text,label
0,1282572446500114432,"['Recently fired French Prime Minister Édouard Philippe, along with several of his ministers, face legal charges for their nefarious handling of the coronavirus by banning access to beneficial hydroxychloroquine-based treatment (which Trump has championed from the start)']",1
1,1280103608458137600,"['Confirmed, only 5% of the Spanish population has passed COVID-19, according to seroprevalence study https://t.co/NzJ1AsztPo']",0
2,1280435418350129153,"['I have a feeling that the next confinement, which is sure to happen, people are going to pass it by by the scruff of the neck.']",0
3,1283309381002629120,"['Many people still do not wear masks in Zaragoza. \n', '\n', ""Until it is sanctioned, they won't give a damn about enforceability. \n"", 'They continue to feel immortal.']",0
4,1272001240126324739,"['#Entérate📣 For every 100 Leonians currently infected with #COVID19, 5.48 die.\n', '\n', 'Sadly, 3 more deaths were registered today, bringing the total number of deaths in Leon to 93.\n', '\n', 'Please take extreme precautions. Do not go out and if you do go out, use mouth covers and follow the sanitary measures. https://t.co/z2ONVfe2WV']",0
5,1282285821287182336,"['If the mask ""weighs you down"" and that\'s why you don\'t wear it, imagine how much a tube down your throat weighs you down 😌. \n', '#coronavirus #irresponsible #puttingonmask https://t.co/KeL8EX0gOj']",0
6,1282007213008130048,"[""Madrid: Health centers are collapsed and do not attend you. My wife has coronavirus, and nobody signs that I should be isolated, so I can infect people at work. She can't take sick leave. Primary care does not exist""]",0
7,1273389964936515584,['Not putting the toilet seat down can spread coronavirus https://t.co/jKShF2EA88'],0
8,1274999175789371392,['Three comarcas of Huesca fall back to phase 2 of de-escalation due to outbreaks in Zaidín and Binéfar https://t.co/lIwsEs7Kae via @heraldoes'],0
9,1280615413748060160,"[""I can't kiss my boyfriend at home for 5 seconds because I have to wear a mask.""]",0
10,1280888345577631744,"['@manuelbarroeta_ Yes Manuel unfortunately there is no response from him citizen, you can not make reason to the ignorant who think at this point is a lie that this virus is highly contagious and has no ttos because they say it does not mean cure.\n', 'Vaccine? Neither']",0
11,1284369308878077952,['We are updating all protocols with recent evidence. New versions will be available soon. Soon we will see the one for PIMS management. We are looking forward to'],0
12,1285139072810450950,"[""@irinoko Lately I've been thinking more about the mutation of the virus. And also that whoever discovers the vaccine will make a fortune.""]",0
